,Artista,link
0,Taylor Swift,https://www.bandsintown.com/a/157?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
1,Katy Perry,https://www.bandsintown.com/a/32666?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
2,Bruno Mars,https://www.bandsintown.com/a/279327?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
3,Maroon 5,https://www.bandsintown.com/a/510?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
4,Beyonce,https://www.bandsintown.com/a/25895?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
5,Rihanna,https://www.bandsintown.com/a/15?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
6,Justin Bieber,https://www.bandsintown.com/a/307871?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
7,Green Day,https://www.bandsintown.com/a/254?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
8,P!nk,https://www.bandsintown.com/a/14952405?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
9,Paramore,https://www.bandsintown.com/a/203?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
10,Usher,https://www.bandsintown.com/a/497?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
11,Justin Timberlake,https://www.bandsintown.com/a/14?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
12,Miley Cyrus,https://www.bandsintown.com/a/1205?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
13,Fall Out Boy,https://www.bandsintown.com/a/7?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
14,Demi Lovato,https://www.bandsintown.com/a/22843?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
15,Blink-182,https://www.bandsintown.com/a/26335?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
16,Black Eyed Peas,https://www.bandsintown.com/a/70?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
17,Shakira,https://www.bandsintown.com/a/90?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
18,OneRepublic,https://www.bandsintown.com/a/252?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
19,One Direction,https://www.bandsintown.com/a/1089381?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
20,Billie Eilish,https://www.bandsintown.com/a/12895856?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
21,Avril Lavigne,https://www.bandsintown.com/a/93?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
22,John Mayer,https://www.bandsintown.com/a/1232?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
23,Nickelback,https://www.bandsintown.com/a/23?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
24,Jason Derulo,https://www.bandsintown.com/a/308742?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
25,Lorde,https://www.bandsintown.com/a/5522674?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
26,Ellie Goulding,https://www.bandsintown.com/a/271336?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
27,Nicki Minaj,https://www.bandsintown.com/a/292851?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
28,Shawn Mendes,https://www.bandsintown.com/a/8371462?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
29,Britney Spears,https://www.bandsintown.com/a/233?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
30,Sam Smith,https://www.bandsintown.com/a/616959?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
31,Macklemore,https://www.bandsintown.com/a/2037479?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
32,Flo Rida,https://www.bandsintown.com/a/31673?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
33,Kelly Clarkson,https://www.bandsintown.com/a/154?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
34,Khalid,https://www.bandsintown.com/a/428629?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
35,Elton John,https://www.bandsintown.com/a/26637?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
36,Jason Mraz,https://www.bandsintown.com/a/276?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
37,5 Seconds Of Summer,https://www.bandsintown.com/a/1512840?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
38,Foster the People,https://www.bandsintown.com/a/975190?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
39,Harry Styles,https://www.bandsintown.com/a/1121764?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
40,Tame Impala,https://www.bandsintown.com/a/208845?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
41,The xx,https://www.bandsintown.com/a/243545?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
42,Christina Aguilera,https://www.bandsintown.com/a/39?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
43,Michael Bublé,https://www.bandsintown.com/a/412?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
44,The Script,https://www.bandsintown.com/a/40539?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
45,Madonna,https://www.bandsintown.com/a/205?came_from=undefined&utm_medium=web&utm_source=artist_explorer_page&utm_campaign=artist
